"","AVGFACSAL","SAT_AVG","RET_FT4","PCIP12","PCIP46","COMP_2YR_TRANS_YR2_RT","IND_WDRAW_2YR_TRANS_YR2_RT","NOPELL_WDRAW_4YR_TRANS_YR2_RT","COMP_2YR_TRANS_YR3_RT","UNKN_4YR_TRANS_YR4_RT","DEP_ENRL_2YR_TRANS_YR4_RT","LO_INC_COMP_2YR_TRANS_YR6_RT","LOAN_UNKN_ORIG_YR6_RT","FIRSTGEN_COMP_2YR_TRANS_YR6_RT","DEP_WDRAW_2YR_TRANS_YR8_RT","IND_WDRAW_2YR_TRANS_YR8_RT","PELL_WDRAW_4YR_TRANS_YR8_RT","IND_INC_PCT_H2","GT_25K_P6","MN_EARN_WNE_P6","COSTT4_A","RETURN"
"383996",5295,932.1507,0.610053383333333,0.0167,0,0.010729614,0.023952096,0.075892857,0.024279211,0.0102976246011333,0.016715831,0.021030494,0.025252525,0.024759285,0.063854048,0.034596376,0.075098814,0.0187369882,0.456,27500,13544,1.0304193738925
"384209",3672,891.358866666667,0.587043490476191,0,0,0.01122291,0.024188791,0.0640483329336999,0.010600707,0.0216472412085,0.0190257602475334,0.033091203,0.032531345,0.036281179,0.056119403,0.046342398,0.083797246,0.0042768274,0.411,22800,30796,-0.259644109624627
"384333",8457,890.1424,0.617228702063493,0.0312,0,0.015057283,0.128313253,0.043887147,0.020673558,0.012445344221,0.042464613,0.058064516,0.057366363,0.05952381,0.104477612,0.125198098,0.137254902,0.0078328982,0.543,29200,11959,1.4416757253951
"385008",4674,926.775933333333,0.590248503333334,0,0,0.010677618,0.031404478,0.0553365196806999,0.016330339,0.001846822,0.012782275,0.028180519,0.0145051782296,0.02295082,0.035909446,0.037931035,0.073182957,0.0053551297,0.455,24900,23083,0.0787159381362908
"386472",5389,946.620833333333,0.4,0,0,0.010660487,0.037787514,0.044925125,0.017226277,0.018762564,0.022624434,0.0260186788121,0.0117840777555667,0.019011407,0.050583658,0.037339557,0.147562582,0.0145711907,0.566,30900,29649,0.0421936658909238
"389727",3651,896.792333333334,0.493200652943723,0,0,0.008583056,0.030555556,0.051535088,0.013823235,0.005128522,0.017287745,0.024409658,0.008456905,0.021175005,0.07773386,0.070935961,0.145234987,0.0040465851,0.363,22100,22210,-0.00495272399819901
"390701",2856,872.1752,0.3636,0,0,0.008194778,0.038510054,0.126005362,0.020266718,0.020055408,0.0207732188939667,0.026687252,0.011464716,0.026074701,0.028947368,0.035213369,0.173657964,0.0012104174,0.323,20800,27739,-0.250153213886586
"402615",6761,955.6912,0.412584834153566,0,0,0.009612012,0.028172188,0.066447007,0.016132782,0.007079718,0.020973783,0.031566409,0.005914685,0.02674655,0.06119403,0.035585625,0.181453989,0.0182762779,0.549,34300,22731.0760610937,0.50894748263623
"404073",5113,922.942293939394,0.5385,0,0,0.01576505,0.057745098,0.039964077,0.027592823,0.005021486,0.026848658,0.053675613,0.004367913,0.051265661,0.094706956,0.072092469,0.129153481,0.0134560907,0.44,26300,18079,0.454726478234416
"404082",5356,924.318593939394,0.4222,0,0,0.01576505,0.057745098,0.039964077,0.027592823,0.005021486,0.026848658,0.053675613,0.004367913,0.051265661,0.094706956,0.072092469,0.129153481,0.0134560907,0.44,26300,17850,0.473389355742297
"404222",5447,897.059133333333,0.732523211545676,0.0137758553524743,0.00142748666666667,0.026736111,0.014020215,0.043478261,0.035503451,0.052795307,0.0202612517605,0.04169177,0.048895899,0.042411246,0.015534226,0.013607499,0.069133757,0.0025951557,0.233,18000,12385.8772505772,0.453268075877401
"404365",3613,929.867333333333,0.580150690634921,0,0.0512,0.00910596,0.042896362,0.0495838380133,0.012774655,0.003687769,0.0173253437138333,0.0272045761342999,0.010582011,0.016783974,0.035493827,0.047366561,0.071168487,0.00742237542194667,0.393,23400,23209,0.0082295661165927
"404374",3419,928.774833333334,0.58145801952381,0.172,0,0.00910596,0.042896362,0.0501833647963666,0.012774655,0.003687769,0.0173704571689667,0.0260352638515666,0.010582011,0.016783974,0.035493827,0.047366561,0.071168487,0.00664425798154666,0.393,23400,22820,0.0254163014899211
"404383",4285,932.777033333333,0.574906030634921,0,0.1892,0.00910596,0.042896362,0.0643152686609,0.012774655,0.003687769,0.0173865009081667,0.0272625791105,0.010582011,0.016783974,0.035493827,0.047366561,0.071168487,0.00961639434523334,0.393,23400,23251,0.00640832652359038
"404499",3981,926.6306,0.576195716666667,0,0,0.010677618,0.031404478,0.0573903538278,0.016330339,0.001846822,0.012782275,0.028180519,0.0141881298082,0.02295082,0.035909446,0.037931035,0.073182957,0.0053551297,0.455,24900,22508,0.106273325039986
"404505",4547,946.0975,0.583280612929293,0,0,0.015608181,0.036512668,0.0611698874377666,0.015518148,0.00217061,0.010752688,0.0287117297755666,0.008183306,0.023470839,0.037142857,0.028723404,0.074152542,0.0168067227,0.436,24200,23256,0.0405916752665979
"404648",3585,950.866660606061,0.8333,0,0,0.01576505,0.057745098,0.039964077,0.027592823,0.005021486,0.026848658,0.053675613,0.004367913,0.051265661,0.094706956,0.072092469,0.129153481,0.0134560907,0.44,26300,18523,0.41985639475247
"404912",5074,987.861083333334,0.763153010000001,0,0,0.005969301,0.01455168,0.009246088,0.009116958,0.004374453,0.008521517,0.02062975,0.007268322,0.018099548,0.02490566,0.024482658,0.047791894,0.0193673338,0.505,27100,17897.5981666667,0.514169652689615
"405979",3286,970.541363636364,0.5,0,0,0.00787734,0.029903437,0.046256029,0.012556655,0.005611064,0.028581531,0.030275247,0.009451125,0.024562807,0.06099978,0.037393432,0.137397866,0.0197037804,0.596,36500,24367,0.497927524931259
"405988",2422,971.298763636364,0.5641,0,0,0.00787734,0.029903437,0.046256029,0.012556655,0.005611064,0.028581531,0.030275247,0.009451125,0.024562807,0.06099978,0.037393432,0.137397866,0.0197037804,0.596,36500,23272,0.568408387762118
"405997",2321,973.034263636364,0.5684,0,0,0.00787734,0.029903437,0.046256029,0.012556655,0.005611064,0.028581531,0.030275247,0.009451125,0.024562807,0.06099978,0.037393432,0.137397866,0.0197037804,0.596,36500,23147,0.576878213159373
