"","AVGFACSAL","SAT_AVG","RET_FT4","PCIP12","PCIP46","COMP_2YR_TRANS_YR2_RT","IND_WDRAW_2YR_TRANS_YR2_RT","NOPELL_WDRAW_4YR_TRANS_YR2_RT","COMP_2YR_TRANS_YR3_RT","UNKN_4YR_TRANS_YR4_RT","DEP_ENRL_2YR_TRANS_YR4_RT","LO_INC_COMP_2YR_TRANS_YR6_RT","LOAN_UNKN_ORIG_YR6_RT","FIRSTGEN_COMP_2YR_TRANS_YR6_RT","DEP_WDRAW_2YR_TRANS_YR8_RT","IND_WDRAW_2YR_TRANS_YR8_RT","PELL_WDRAW_4YR_TRANS_YR8_RT","IND_INC_PCT_H2","GT_25K_P6","MN_EARN_WNE_P6","COSTT4_A"
"238892",4955,961.411166666666,0.326840415601937,0,0,0.003755756,0.017573114,0.069286287,0.005041815,0.008969292,0.014946619,0.019213974,0.011032532,0.020493957,0.059714795,0.05091104,0.123526397,0.0085605213,0.578,33100,26148
"238935",6150.19075500376,966.266533333333,0.6,0,0,0.014565384,0.032539863,0.063011563,0.019705923,0.006580774,0.031341328,0.036052886,0.015700817,0.033200123,0.098818169,0.052384912,0.142641964,0.0256869502,0.63,36900,32394
"239248",9373,955.411071929824,0.683196842857144,0.0417,0.0306,0.011402509,0.022822665,0.04159132,0.015984542,0.005835315,0.012543904,0.042034468,0.016716196,0.041716329,0.047831633,0.026537998,0.143342601,0.0065297238,0.489,26800,12089
"239488",6556,1000.42969393939,0.722046816587302,0,0.018,0.007125045,0.031055901,0.019448947,0.010767628,0.00887587313190001,0.0186989528480333,0.013303769,0.016447368,0.01285347,0.022608696,0.034965035,0.074074074,0.0047928792,0.605,30900,12007
"239929",4319,874.094466666667,0,0,0,0.015121631,0.056873823,0.03002611,0.020381613,0.00402617,0.025743453,0.046051261,0.0676163,0.044936503,0.073194857,0.057805741,0.165594855,0.0057740888,0.399,23000,20318
"240055",5481,970,0.605418969169719,0,0,0.013319012,0.035245902,0.079972659,0.03107151,0.009032944,0.033880171,0.050695012,0.006823351,0.058471761,0.078407225,0.061326658,0.177777778,0.0108318891,0.533,28000,12658
"240116",7946,994.3122,0.743570393333333,0.0084,0.0617,0.011764706,0.030451866,0.024904215,0.020376176,0.00959355775463335,0.0260340431848333,0.011641444,0.016702978,0.021390374,0.035667107,0.037707391,0.080765144,0.0058719906,0.608,31900,12452
"240170",5069,960.517066666667,0.603937082222223,0.0089,0.0206,0.018181818,0.032763533,0.035714286,0.016460905,0.00919808761529999,0.0260134626314667,0.025316456,0.014508929,0.021526419,0.052713178,0.042801556,0.089460784,0.0161245664886767,0.597,30300,12077
"240189",6836,1050,0.8033,0,0,0.009748172,0.0302889624937,0.040462428,0.017331023,0.00784517667346667,0.0258696380675667,0.024719101,0.009367682,0.030178327,0.0523247895644667,0.0415878547152667,0.076566125,0.0215231788,0.679,33700,15699
"240268",6727,1110,0.8287,0,0,0.012861736,0.036363636,0.018484288,0.01980198,0.0061360281816,0.0260314654684,0.050970874,0.0123476567316333,0.054145516,0.0465628234658667,0.0383636306551666,0.042875158,0.0254237288,0.726,37200,17332
